Rank,Name,School,Grade,Position,Height,Weight,40 Time,Conference,Projected Round,Projected Team,Strengths,Weaknesses,Analysis,,
24,Cashius Howell,TAMU,4.03,DE,"6'2""",252,4.68,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
25,Kadyn Proctor,ALA,4.02,T,"6'7""",359,N/A,SEC,1st or 2nd,TBD,N/A,N/A,N/A,,
25,Olaivavega Ioane,PSU,4.02,G,"6'4""",332,N/A,BIG 10,2nd,TBD,N/A,N/A,N/A,,
26,Max Iheanachor,ASU,4.01,T,"6'5.5""",325,5.08,BIG 12,2nd,TBD,"Large, athletic offensive tackle whose game has significantly improved the past two years. Sets with a wide base, works to bend his knees and is explosive at the point. Effective with his hands, strong and gets movement run blocking. Large enough to out-position opponents from the action and seals defenders from plays. Quick to the second level, adjusts or redirects blocking in motion and fluidly pulls across the line of scrimmage. Quickly sets up in pass protection, keeps his feet moving and stays square. Makes good use of angles and displays solid footwork off the edge at right tackle.",Must consistently finish blocks. Exploited by speed rushers and needs to polish his pass-protection skills.,"Entering the season as a late Day 2 prospect, Iheanachor showed tremendous improvement in his game and was dominant during three days of Senior Bowl practice. He's an athletic right tackle with tremendous upside who could start early in his rookie season.",,
27,Colton Hood,TENN,4,CB,N/A,N/A,N/A,SEC,2nd,TBD,N/A,N/A,N/A,,
28,Deontae Lawson,ALA,3.99,ILB,"6'2.5""",221,4.65,SEC,2nd,TBD,N/A,N/A,N/A,,
29,Ty Simpson,ALA,3.98,QB,N/A,N/A,N/A,SEC,2nd,TBD,N/A,N/A,N/A,,
30,Caleb Lomu,UTAH,3.97,T,"6'6""",304,N/A,BIG 12,2nd,TBD,"Athletic left tackle who is incredibly light on his feet. Stays square, displays solid footwork off the edge and uses his hands well. Patient, fundamentally sound and agile. Keeps his feet moving, handles edge rushers and stays square to seal defenders from the action. Keeps his head on a swivel, displays terrific vision and quickly picks up the blitz. Fluid pulling across the line of scrimmage and blocking in motion, quickly gets to the second level and easily redirects or adjusts to hit a moving target.",Must improve his blocking balance. Does not block with a nasty attitude. Must improve his playing strength and rarely finishes blocks.,"Lomu was effective as a two-year starter at left tackle for Utah who showed improvement in his game over the course of his career. He's a natural pass-protecting zone blocker with upside, yet hes a younger prospect who must get stronger and learn to finish blocks.",,
31,Lee Hunter,TTU,3.96,DT,"6'3.5""",320,5.14,BIG 12,2nd,TBD,"Large, athletic big man who is coming off a breakout campaign. Fires off the snap with an explosive first step, plays with proper pad level and gets leverage on opponents. Effectively uses his hands and commands double-team blocks yet holds his ground. Fires through the gaps against the run and wraps up tackling. Easily changes direction, moves well laterally and displays surprising speed for a big man. Slides down the line of scrimmage and outside the box to defend the run, wraps up tackling and brings ball handlers down in the open field. Stays with assignments and works hard to make plays. Was dominant during three days of Senior Bowl practice.","Must develop more moves, as he gets tied up by a single blocker too often. Not a natural pass rusher.","After three solid seasons at Central Florida, Hunter watched his game take off last year at Texas Tech. He's a big, dominant interior defensive lineman with the ability to be a game changer, and he offers scheme versatility in a four-man front or even at nose tackle.",,
32,Derrick Moore,MICH,3.95,DE,"6'3.5""",254,4.68,BIG 10,2nd,TBD,N/A,N/A,N/A,,
33,Denzel Boston,WASH,3.94,WR,N/A,N/A,N/A,BIG 10,2nd,TBD,N/A,N/A,N/A,,
34,Chris Bell,LOU,3.93,WR,"6'1.5""",224,4.46,ACC,2nd,TBD,"Game-impacting and game-controlling receiver who is coming off a career season. Quick-footed into routes, uses his hands to separate from defenders and stays low exiting breaks. Stays with assignments, displays terrific route discipline and plays with balance as well as body control. Tracks the pass in the air, adjusts to the throw and displays a sense of timing as well as outstanding eye/hand coordination. Uses the sidelines well, adjusts to the errant throw on crossing patterns and uses his large frame to shield away defenders and protect the pass. Extends his hands to offer the quarterback a target and consistently makes the reception away from his body. Displays terrific speed and burst for a bigger receiver. Exposes himself to the big hit to come away with the catch, gets vertical in a crowd and takes a pounding yet holds onto the throw. Big, strong and breaks tackles after the catch.",Lacks the top-end gear and vertical speed. Could be a little too wide for his size. Suffered a torn ACL late in November that required surgery to repair.,"Bell is a terrific wideout who displayed consistent progress on the field then had a breakout campaign last year, totaling 72 receptions for 970 yards and six TDs before the knee injury. He possesses all the ability to be a No. 1 receiver, but now he must return from knee surgery, get back to full health and continue to improve his game.",,
34,Emmanuel Pregnon,ORE,3.93,G,"6'4.5""",318,5.21,BIG 10,2nd,TBD,N/A,N/A,N/A,,
35,Josh Josephs,TENN,3.92,DE,"6'2.5""",240,4.66,SEC,2nd,TBD,N/A,N/A,N/A,,
36,Gabe Jacas,ILL,3.91,DE,"6'3""",260,4.72,BIG 10,2nd,TBD,N/A,N/A,N/A,,
37,Isaiah World,ORE,3.9,T,"6'5.5""",318,5.21,BIG 10,2nd,TBD,N/A,N/A,N/A,,
38,Akheem Mesidor,MIA,3.89,DE,"6'2.5""",271,4.82,ACC,2nd,TBD,"Explosive college defensive end with a complete game. Agile, mobile and easily moves around the field. Quick off the snap, immediately changes direction and nicely redirects to the ball handler. Bends off the edge, stays within his pass-rush angle and keeps his feet moving. Displays an explosive first step off the snap, flattens off the edge and make plays in backside pursuit. Works hard, gets into space and chases the action. Remains disciplined with assignments and quickly locates the football. Breaks down well, stands over tackle or comes out of a three-point stance and uses his hands effectively.",Out-positioned from the action by a single blocker. Lacks elite speed. Has an injury history that must be checked out.,"Mesidor was highly considered by NFL scouts for three seasons and finally lived up to expectations last year, totaling 60 tackles, 15.5 tackles for loss and 10.5 sacks while forcing four fumbles. He really needs to improve his playing strength, but he has the skill and ability to line up at defensive end in a four-man front and eventually develop into a productive starter.",,
39,Jadarian Price,ND,3.87,RB,N/A,N/A,N/A,IND,2nd,TBD,N/A,N/A,N/A,,
40,Caleb Banks,FLA,3.86,DT,"6'6""",328,5.12,SEC,2nd,TBD,N/A,N/A,N/A,,
40,D'Angelo Ponds,IND,3.86,CB,N/A,N/A,N/A,BIG 10,2nd,TBD,N/A,N/A,N/A,,
40,Omar Cooper Jr.,IND,3.86,WR,N/A,N/A,N/A,BIG 10,2nd,TBD,N/A,N/A,N/A,,
41,Brandon Cisse,SCAR,3.84,CB,N/A,N/A,N/A,SEC,2nd,TBD,N/A,N/A,N/A,,
42,Elijah Sarratt,IND,3.83,WR,"6'2""",207,4.48,BIG 10,2nd,TBD,N/A,N/A,N/A,,
42,Jaishawn Barham,MICH,3.83,OLB,"6'3""",242,4.62,BIG 10,2nd,TBD,N/A,N/A,N/A,,
43,Chris Johnson,SDSU,3.82,CB,"6'0""",182,4.45,M-WEST,2nd,TBD,N/A,N/A,N/A,,
43,Zion Young,MIZZ,3.82,DE,"6'5""",257,4.75,SEC,2nd,TBD,N/A,N/A,N/A,,
44,Deion Burks,OU,3.81,WR,"5'9.5""",182,4.35,SEC,2nd,TBD,N/A,N/A,N/A,,
44,Jake Golday,CIN,3.81,ILB,"6'4""",235,4.65,BIG 12,2nd or 3rd,TBD,"Hard-working, three-down linebacker with a rounded game. Patient and instinctive but also tough. Remains disciplined with assignments, quickly locates the ball handler and flows laterally to the action. Shows speed laterally to get to the sidelines, slides off blocks and wraps up tackling. Uses his hands to protect himself and plays ferocious football with a nasty attitude. Efficient, takes good angles to the action and easily redirects to ball handlers. Gets depth on pass drops and displays terrific awareness and coverage.",Get out-positioned from the action. Lacks elite pursuit speed.,"Golday is not a flashy linebacker, rather hes steady and productive. Totaling 105 tackles last season, he makes plays with his instincts as much as his physical ability and offers starting potential on Sundays.",,
44,Kaytron Allen,PSU,3.81,RB,"5'11.5""",215,4.53,BIG 10,2nd or 3rd,TBD,N/A,N/A,N/A,,
45,Monroe Freeling,UGA,3.8,T,N/A,N/A,N/A,SEC,2nd or 3rd,TBD,N/A,N/A,N/A,,
46,Genesis Smith,ARIZ,3.79,S,N/A,N/A,N/A,BIG 12,2nd or 3rd,TBD,"Versatile safety who receives a variety of opinions around the league. Sized well, keeps the action in front of him and defeats blocks to get to the ball handler. Displays a burst out of his plant, quick to close and effectively times pass defenses. Terrific run defender who moves fluidly around the field and gets a hand in to knock away passes. Does a terrific job with his coverage assignments in deep center field, tracks the pass in the air and gets vertical to high-point the throw over receivers. Hard-hitting run defender who drives his shoulder pads through opponents. Works incredibly well with cornerbacks.","Inefficient, occasionally makes his first move upfield and gets caught out of position. Struggles in man coverage situations.","Smith is an all-purpose safety who watched his game take off the past two seasons, posting 140 tackles while breaking up 18 passes. He possesses the ability to be used as a true center fielder, yet he can play in zone for a team that wants him to defend the run. While some scouts grade him as a late Day 3 selection, I believe Smith has starting potential and should receive consideration in the third round.",,
46,Keith Abney II,ASU,3.79,CB,N/A,N/A,N/A,BIG 12,2nd or 3rd,TBD,"Skilled cornerback who showed progress in his game and is coming off a career season. Physical, mixes it up with opponents and does not back down from a challenge. Quick flipping his hips in transition and stays with receivers all over the field. Sticks to the receivers hip out of breaks, tracks the pass in the air and has an explosive burst to the ball. Communicates well with teammates in the secondary. Gives effort against the run and is quick to close. Comes off his assignments to make plays on the football.","Small, struggles against larger receivers and get caught up in blocks. Must be more disciplined pedaling in reverse and is very quick to sidestep downfield.","Abney is a terrific cornerback who was rarely challenged by opponents the past two seasons when he combined for five interceptions and 21 PBUs. He's a smaller defensive back who lacks growth potential and would be best at nickel back, preferably in a zone system facing the action.",,
47,Chase Bisontis,TAMU,3.78,G,"6'6""",320,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
47,Germie Bernard,ALA,3.78,WR,"6'0.5""",209,4.52,SEC,3rd,TBD,N/A,N/A,N/A,,
47,LT Overton,ALA,3.78,DE,"6'2.5""",272,4.72,SEC,3rd,TBD,N/A,N/A,N/A,,
47,Malachi Fields,ND,3.78,WR,"6'3""",212,4.5,IND,3rd,TBD,N/A,N/A,N/A,,
48,Eli Stowers,VAN,3.77,TE,"6'3.5""",242,4.65,SEC,3rd,TBD,N/A,N/A,N/A,,
49,Antonio Williams,CLEM,3.76,WR,"5'11""",195,N/A,ACC,3rd,TBD,"Quick, surehanded receiver who is super quick in all his actions. Plays with excellent balance as well as body control and separates from opponents through routes. Lays out to come away with the difficult catch, adjusts to the errant throw and displays a sense of timing. Tracks the pass in the air, makes the reception in stride and gets vertical over opponents for the difficult catch. Fast running laterally, competes to come away with the tough catch and displays skill running with the with the ball in his hands. Possesses soft as well as strong hands.",Possesses a small build and is easily brought down in the open field. Did not present himself as a true vertical threat at Clemson. Coming off an injury-riddled campaign and has an injury history.,"After catching 75 passes for 904 yards and 11 TDs in 2024, Williams was limited to just 10 games with a hamstring issue last season and finished with 55 catches for 604 yards. He's a terrific route runner with reliable hands and enough skill to line up as a third receiver on Sundays, though Williams must show durability to have a productive NFL career.",,
50,Dillon Thieneman,ORE,3.75,S,"6'0""",205,N/A,BIG 10,3rd,TBD,N/A,N/A,N/A,,
50,Harold Perkins Jr.,LSU,3.75,ILB,"6'0""",220,4.42,SEC,3rd,TBD,N/A,N/A,N/A,,
50,Max Klare,OSU,3.75,TE,"6'3""",238,N/A,BIG 10,3rd,TBD,N/A,N/A,N/A,,
50,Zane Durant,PSU,3.75,DT,"6'1""",292,5.12,BIG 10,3rd,TBD,N/A,N/A,N/A,,
51,Jalon Kilgore,SCAR,3.71,CB,"6'1""",211,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
52,Kyle Louis,PITT,3.7,ILB,N/A,N/A,N/A,ACC,3rd,TBD,"Undersized but active college linebacker who is built more like a large safety. Feisty, aggressive and does not back down from a challenge. Remains disciplined with assignments, shows ability in coverage and flows laterally in pursuit. Fast in all directions, gets outside the box to make plays and quickly locates the ball handler. Explodes upfield, works to get through blocks and makes plays behind the line of scrimmage. Goes sideline to sideline covering a lot of area, gets depth on pass drops and possesses a closing burst as well as recovery speed. Breaks down well, quickly flips his hips in transition and stays with the action. Totals from 2024 included 101 tackles, 15.5 tackles for loss and seven sacks along with four interceptions. Junior numbers last season included 81 tackles, and he was credited with five pass defenses. Had three dominant days of practice at the Senior Bowl, looking like the most complete linebacker on the field.","Indecisive in coverage and lets pass catchers behind him on occasion. Not big, lacks growth potential and struggles taking on blocks.","Louis was an incredibly productive defender for Pittsburgh the past two seasons and has next-level scheme limitations. Depending on your point of view, he's either a very large strong safety or an undersized one-gap linebacker. Given his dominant performance at the Senior Bowl, many will justifiably grade Louis as a potential starter on the inside of a 3-4 alignment.",,
53,Malik Muhammad,TEX,3.69,CB,N/A,N/A,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
54,Connor Lew,AUB,3.68,C,"6'3""",300,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
54,Jacob Rodriguez,TTU,3.68,ILB,"6'1""",233,4.68,BIG 12,3rd,TBD,"Explosive and game-changing linebacker who is coming off a tremendous campaign. Tough, disciplined and instinctive. Plays heads-up football, stays with assignments and sells out to make plays. Moves well laterally to get to the sidelines in pursuit, uses his hands to protect himself and covers a lot of area on the field. Fast in every direction, very quick and gets depth on pass drops. Works hard to get off blocks and make tackles against the run. Totals last season included 128 tackles as well as seven forced fumbles.",Undersized and gets out-positioned from the action. May be physically tapped out. Struggled during coverage drills at the Senior Bowl.,"Rodriguez is a hard-charging linebacker whose game really took off last season when he was a major force on an outstanding Texas Tech defense. He has size limitations and can only play in zone coverage against the pass, yet at worst, Rodriguez will be a top backup and special-teams performer.",,
55,Jack Endries,TEX,3.67,TE,N/A,N/A,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
56,Nick Singleton,PSU,3.66,RB,"6'0.5""",218,4.43,BIG 10,3rd,TBD,N/A,N/A,N/A,,
57,Bryce Lance,NDSU,3.65,WR,"6'3""",206,4.48,D-IAA,3rd,TBD,"Productive two-year starter who is coming off a terrific senior campaign despite struggling with injuries. Fluid, natural pass catcher who tracks the pass in the air, displays outstanding focus and extends or exposes himself to the big hit in order to come away with the catch. Adjusts to the errant throw, makes the over-the-shoulder reception downfield and contorts to come away with the difficult grab. Possesses eye/hand coordination, uses the sidelines well and consistently extends to make the catch away from his frame. Solid vertical threat who plays faster than his 40 time. Gives effort blocking.",Not a quick route runner and lopes in and out of breaks. Lacks a true second gear.,"The younger brother to 2021 No. 3 pick Trey Lance, Bryce is a well-sized receiver prospect with dependable hands and a developing game. He possesses the tools and abilities to develop into a second wideout on Sundays, but he will need time to acclimate to the higher level of competition.",,
57,Josiah Trotter,MIZZ,3.65,ILB,N/A,N/A,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
57,Tanner Koziol,HOU,3.65,TE,"6'6""",251,4.68,BIG 12,3rd,TBD,"Super-productive tight end with an underrated game. Natural pass catcher who displays terrific eye/hand coordination as well as focus. Sturdy tight end who fights with his hands to separate from defenders, consistently wins out for the contested grab and that takes a pounding yet holds onto the throw. Tracks the ball in the air, gets vertical over defenders and makes the difficult catch in contorted positions. Plays faster than his 40 time and shows ability as a downfield pass catcher. Follows the quarterback across the field and works to make himself an available target. Possesses a sense of timing and knows where he is on the field. Combined for 168 receptions,1,566 receiving yards and 14 touchdowns the last two seasons.",Possesses average blocking strength despite his size. Struggles finishing off opposing defensive backs.,"Koziol is an outstanding pass-catching tight end with terrific size and upside potential. Hell be underdrafted, yet he offers starting potential once he improves his blocking.",,
58,Christen Miller,UGA,3.64,DT,N/A,N/A,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
58,Dani Dennis-Sutton,PSU,3.64,DE,"6'5.5""",270,4.71,BIG 10,3rd,TBD,N/A,N/A,N/A,,
58,Drew Shelton,PSU,3.64,T,"6'5""",303,5.13,BIG 10,3rd,TBD,N/A,N/A,N/A,,
58,Kamari Ramsey,USC,3.64,S,"6'0""",203,N/A,BIG 10,3rd,TBD,N/A,N/A,N/A,,
59,Demond Claiborne,WAKE,3.63,RB,"5'9.5""",192,4.43,ACC,3rd,TBD,"Underrated running back prospect with a complete game and explosive speed. Solid open-field ball carrier who runs with lean and has a burst. Multi-cut running back who is quick-footed, follows blocks everywhere on the field and makes defenders miss. Quick, slippery and runs with authority. Hits the hole hard, runs aggressively on the inside and keeps his feet moving to break tackles. Displays soft hands as a pass catcher, tracks the ball in the air and gets vertical or contorts to make the difficult catch. Remains disciplined with all his assignments. Displays terrific contact balance and quickly gets back to running form off the initial hit.","Not a big-bodied ball carrier who moves the pile. Rushed for over 1,000 yards just one time in college.","Claiborne is a well-rounded ball carrier with terrific speed and skill. His ability to create yardage as well as catch the ball out of the backfield, coupled with his effort running between the tackles, sets him up perfectly to be a situational runner or third-down back on Sundays. I expect Claiborne to be selected in the draft much earlier than people are presently predicting.",,
60,Emmanuel McNeil-Warren,TOL,3.62,S,"6'3.5""",190,4.55,MAC,3rd,TBD,"Nice-sized, run-defending safety who is best playing downhill. Patient, keeps the action in front of him and quickly locates the ball handler. Works his hands to get off blocks, quickly locates the ball handler and sells out to make the tackle. Possesses an aggressive style, keeps his head on a swivel and remains alert. Outstanding run defender who has combined for 207 tackles the past three seasons.",Does not show great range or the ability to quickly get to the sidelines in coverage. Lacks long speed as well as a great closing burst.,"McNeil-Warren possesses the size as well as skill to line up in a zone system or as a traditional strong safety. He has limitations in man coverage, but he has proven himself to be very effective facing the action.",,
60,Zachariah Branch,UGA,3.62,WR,"5'10""",175,N/A,SEC,3rd,TBD,N/A,N/A,N/A,,
61,Gennings Dunker,IOWA,3.61,T,"6'5""",317,5.08,BIG 10,3rd,TBD,N/A,N/A,N/A,,
62,Aiden Fisher,IND,3.6,ILB,"6'0.5""",232,4.62,BIG 10,3rd,TBD,N/A,N/A,N/A,,
63,Kaleb Elarms-Orr,TCU,3.59,ILB,"6'1.5""",233,4.65,BIG 12,3rd or 4th,TBD,"Slightly undersized yet super-active linebacker who is coming off a career campaign. Breaks down well, flows laterally to the action and smoothly flips his hips dropping into coverage. Gets depth on pass drops, easily changes direction and covers a lot of area on the field. Patient, instinctive and remains disciplined with assignments. Fast in every direction, displays speed in pursuit and has an explosive closing burst. Fires upfield defending the run, uses his hands to protect himself and plays hard. One of the better cover linebackers during three days of Senior Bowl practice.",Undersized and gets caught up in the trash and easily blocked from the action. Shows no force on the blitz.,"After being graded as a late-round pick entering the season, Elarms-Orr totaled 130 tackles and 11 TFLs last season, which helped elevate his draft stock. Questions about his ability in coverage were answered during the Senior Bowl, where he easily defended tight ends and running backs. Elarms-Orr may be physically tapped out, yet his game is on an upswing, and he offers starting potential in a variety of systems.",,
63,R Mason Thomas,OU,3.59,DE,"6'1.5""",249,4.7,SEC,3rd or 4th,TBD,N/A,N/A,N/A,,
64,Aamil Wagner,ND,3.58,T,"6'6""",291,N/A,IND,4th,TBD,N/A,N/A,N/A,,
